일련번호,상호명,지번주소
21061,GS25,광주광역시 남구 월산동 282-4
21062,CU,광주광역시 북구 중흥동 272-6
21063,세븐일레븐,광주광역시 광산구 우산동 1038-4
21064,GS25,광주광역시 광산구 흑석동 170
21065,CU,광주광역시 남구 구동 1-21
21066,CU,광주광역시 광산구 월계동 765-8
21067,CU,광주광역시 광산구 송정동 965-1
21068,와이어스편의점,광주광역시 북구 오룡동 1110-43
21069,GS25,광주광역시 남구 진월동 571-5
21070,이마트,광주광역시 서구 치평동 1255-19
21071,세븐일레븐,광주광역시 북구 오룡동 1110-43
21072,GS25,광주광역시 북구 중흥동 148
21073,CU,광주광역시 북구 운암동 69
21074,GS25,광주광역시 남구 주월동 1320
21075,GS25,광주광역시 동구 계림동 100-11
21076,GS25,광주광역시 광산구 쌍암동 694-106
21077,미니스톱,광주광역시 광산구 진곡동 502
21078,지에스,광주광역시 서구 풍암동 1003
21079,올나잇24,광주광역시 서구 풍암동 1123-4
21080,CU,광주광역시 북구 문흥동 949-9
21081,세븐일레븐,광주광역시 남구 봉선동 1130-4
21185,올젠롯데수완아울렛점,광주광역시 광산구 장덕동 1678
21186,캉골코리아NC웨이브광주점,광주광역시 동구 충장로4가 29-2
21187,세븐일레븐,광주광역시 북구 용봉동 1035
21188,GS25,광주광역시 광산구 신촌동 682-65
21189,세븐일레븐,광주광역시 북구 오치동 872-1
21190,지에스25조대후문,광주광역시 동구 지산동 510-12
21191,CU,광주광역시 북구 용두동 267-14
21192,GS25,광주광역시 북구 신안동 228-1
21193,미니스톱,광주광역시 북구 신용동 624-14
21194,CU,광주광역시 광산구 장덕동 1646
21195,GS25,광주광역시 동구 운림동 379-1
21196,CU파주서영대학교점,광주광역시 남구 봉선동 170
21197,위드미송정펠릭스점송정펠릭스점,광주광역시 광산구 송정동 763-11
21198,GS25,광주광역시 북구 두암동 968-1
21199,CU,광주광역시 남구 진월동 413-16
21200,CU,광주광역시 북구 매곡동 468-2
21201,GS25,광주광역시 동구 계림동 556-7
21202,GS25,광주광역시 광산구 월계동 893-9
21203,CU,광주광역시 광산구 수완동 1587
21204,코리아세븐용봉3호,광주광역시 북구 용봉동 1224-5
21205,GS25,광주광역시 광산구 송정동 840-2
21206,GS25,광주광역시 동구 서석동 375
21207,허쉬파피,광주광역시 광산구 하남동 831
21208,CU,광주광역시 북구 운암동 969-4
21209,세븐일레븐,광주광역시 북구 두암동 565-2
21210,GS25,광주광역시 북구 우산동 4-3
21211,SMART,광주광역시 북구 매곡동 280-1
21212,GS25,광주광역시 광산구 신창동 1250-9
21213,CU,광주광역시 광산구 비아동 694-5
21214,그린24편의점,광주광역시 서구 농성동 32-27
21215,위드미광주골드점,광주광역시 서구 농성동 417-18
21216,세븐일레븐,광주광역시 북구 용봉동 156-13
21217,코리아세븐운암5호점,광주광역시 북구 운암동 936-9
21218,GS25,광주광역시 서구 금호동 240-2
21219,세븐일레븐,광주광역시 동구 계림동 844
21220,삼익슈퍼,광주광역시 북구 동림동 645
21221,세븐일레븐,광주광역시 서구 쌍촌동 968-1
21222,GS25,광주광역시 북구 일곡동 829-1
21223,위드미,광주광역시 남구 행암동 692
21224,세븐일레븐,광주광역시 동구 학동 728-3
21225,씨제이올리브네트웍스광주,광주광역시 동구 충장로4가 29-2
21226,GS25,광주광역시 북구 용봉동 1150-1
21227,세븐일레븐,광주광역시 동구 광산동 13
21228,GS25,광주광역시 남구 봉선동 114-2
21229,미니스톱문화전당점,광주광역시 동구 금남로1가 19-8
21230,GS25,광주광역시 북구 연제동 1116
21231,GS25,광주광역시 남구 주월동 458-3
21232,GS25,광주광역시 북구 오치동 866-1
21233,STORYWAY,광주광역시 광산구 송정동 1003-1
21234,GS25,광주광역시 광산구 쌍암동 666-4
21379,세븐,광주광역시 남구 진월동 513-1
21380,세븐일레븐,광주광역시 서구 치평동 1202-2
21381,세븐일레븐,광주광역시 광산구 산월동 885-3
21382,GS25,광주광역시 광산구 월계동 821-10
21383,세븐일레븐,광주광역시 북구 연제동 1061
21384,GS25수완원룸점,광주광역시 광산구 수완동 1600
21385,CU,광주광역시 동구 계림동 1815
21386,GS25,광주광역시 북구 용봉동 999
21387,OK마트,광주광역시 북구 양산동 610-17
21388,미니스톱,광주광역시 북구 오룡동 1110-39
21389,CU,광주광역시 동구 학동 1022
21390,GS25,광주광역시 서구 화정동 896-1
21391,GS25송정나비점,광주광역시 광산구 송정동 589-5
21392,미니스톱운암예향점,광주광역시 북구 운암동 412-1
21393,위드미광주월산점,광주광역시 남구 월산동 946-15
21394,CU,광주광역시 서구 치평동 1222-3
21395,GS25,광주광역시 북구 오치동 1022-8
21396,CU,광주광역시 광산구 흑석동 532
21397,GS25,광주광역시 광산구 신창동 855-5
21398,GS25,광주광역시 동구 학동 1012
21399,세븐일레븐,광주광역시 남구 봉선동 150-2
21400,CU,광주광역시 남구 백운동 644-28
21401,세븐일레븐,광주광역시 북구 매곡동 373-15
21402,세븐일레븐,광주광역시 광산구 월계동 790-2
21403,미니스톱,광주광역시 동구 지산동 713-13
21404,GS25,광주광역시 북구 운암동 1038-1
21405,세븐일레븐광주용봉우치점,광주광역시 북구 용봉동 20-18
21406,GS25충장아트,광주광역시 동구 충장로4가 14
21407,세븐일레븐광주운암고가점,광주광역시 북구 운암동 489-13
21408,CU,광주광역시 북구 문흥동 744-6
21409,미니스톱광주연제점,광주광역시 북구 연제동 36-1
21410,세븐일레븐,광주광역시 남구 백운동 213-14
21411,오렌지트라이,광주광역시 남구 진월동 288-1
21412,코리아세븐광주문흥,광주광역시 북구 문흥동 989-18
21413,세븐일레븐광주신가세종점,광주광역시 광산구 신가동 1147
21414,코리아세븐광주용봉,광주광역시 북구 용봉동 1198-1
21415,코리아세븐광주,광주광역시 서구 금호동 752-1
21416,GIGA광주그린카진흥원,광주광역시 광산구 오선동 573
21417,세븐일레븐,광주광역시 북구 양산동 816-2
21418,세븐일레븐광주진월대주점,광주광역시 남구 진월동 252-4
21419,코리아세븐광주신가베르힐점,광주광역시 광산구 신가동 1225
21420,편의점사랑,광주광역시 북구 용봉동 157-29
21421,CU,광주광역시 서구 풍암동 895-19
21422,세븐일레븐,광주광역시 서구 치평동 1250-1
21423,GS25,광주광역시 광산구 월계동 886-5
21424,세븐일레븐,광주광역시 광산구 장덕동 1677
21425,GS25,광주광역시 서구 쌍촌동 1319
21426,세븐일레븐,광주광역시 광산구 쌍암동 694-115
21427,CU용두주공점,광주광역시 북구 용두동 268-12
21574,GS25삼각원룸점,광주광역시 북구 삼각동 820-1
21575,세븐일레븐광주용봉로점,광주광역시 북구 중흥동 335-28
21576,GS25,광주광역시 광산구 월계동 787-2
21577,위드미,광주광역시 광산구 쌍암동 694-35
21578,코리아세븐광주문흥금호점,광주광역시 북구 문흥동 980-1
